duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,proto_icmp,proto_tcp,proto_udp,conn_state_OTH,conn_state_REJ,conn_state_RSTO,conn_state_RSTOS0,conn_state_RSTR,conn_state_RSTRH,conn_state_S0,conn_state_S1,conn_state_S2,conn_state_S3,conn_state_SF,conn_state_SH,conn_state_SHR,Unnamed: 0,ts,id.orig_h
0.0,0,0,0.0,1.0,40.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36451.0,1545336847.236285,192.168.1.197
5.038883,78,103,0.0,2.0,134.0,1.0,131.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,46.0,1532514760.932834,192.168.100.111
-1.0,-1,-1,0.0,2.0,80.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26691.0,1536227064.767641,192.168.100.111
0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87356.0,1569018210.251607,192.168.1.195
0.0,0,0,0.0,1.0,60.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82740.0,1545404286.445575,192.168.1.196
-1.0,-1,-1,0.0,2.0,80.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40964.0,1536227087.009125,192.168.100.111
0.0,0,0,0.0,1.0,40.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56279.0,1545336878.681596,192.168.1.197
-1.0,-1,-1,0.0,2.0,80.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47017.0,1552048049.034282,192.168.1.197
0.0,0,0,0.0,1.0,95.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,419.0,1532524494.301309,192.168.100.111
-1.0,-1,-1,0.0,2.0,120.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54023.0,1551378298.668054,192.168.1.200
0.0,0,0,0.0,1.0,40.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,98536.0,1525916605.009291,192.168.100.103
